HCH_010_014_000000	十六年春正月乙丑，如長濼。
HCH_010_014_000095	戊子，鐵驪遣使來貢。
HCH_010_014_000096	五月乙卯，幸炭山清暑。
HCH_010_014_000097	六月，夏國遣劉仁勖來告下靈州。
HCH_010_014_000098	秋七月甲午朔，日有食之。
HCH_010_014_000099	丁酉，以邢抱樸為南院樞密使。
HCH_010_014_000100	辛丑，高麗遣使來貢本國地理圖。
HCH_010_014_000101	九月癸巳朔，謁顯陵，告南伐捷。
HCH_010_014_000102	冬十月癸亥朔，至自顯陵。
HCH_010_014_000103	十二月，奚王府五帳六節度獻七金山土河川地，賜金幣。
HCH_010_014_000104	是歲，南京、平州麥秀兩歧。
HCH_010_014_000105	放進士邢祥等六人及第。
HCH_010_014_000106	二十一年春正月，如鴛鴦濼。
HCH_010_014_000107	三月壬辰，詔修日曆官毋書細事。
HCH_010_014_000108	甲午，朝皇太后。
HCH_010_014_000109	戊午，鐵驪來貢。
HCH_010_014_000110	夏四月乙丑，女直遣使來貢。
HCH_010_014_000111	戊辰，兀惹、渤海、奧裏米、越裏篤、越裏吉等五部遣使來貢。
HCH_010_014_000112	是月，耶律奴瓜、蕭撻凜獲宋將王繼忠於望都。
HCH_010_014_000113	五月庚寅朔，清暑炭山。
HCH_010_014_000114	丁巳，西平王李繼遷薨，其子德昭遣使來告。
HCH_010_014_000115	六月己卯，贈繼遷尚書令，遣西上閣門使丁振吊慰。
HCH_010_014_000116	辛巳，党項來貢。
HCH_010_014_000117	乙酉，阻卜鐵剌裏率諸部來降。
HCH_010_014_000118	是月，修可敦城。
HCH_010_014_000119	秋七月庚戌，阻卜、烏古來貢。
HCH_010_014_000120	甲寅，以奚王府監軍耶律室魯為南院大王。
HCH_010_014_000121	八月乙酉，阻卜鐵剌裏來朝。
HCH_010_014_000122	丙戌，朝皇太后。
HCH_010_014_000123	九月己亥，夏國李德昭遣使來謝吊贈。
HCH_010_014_000124	癸丑，幸女河湯泉，改其名曰松林。
HCH_010_014_000125	冬十月丁巳朔，駐蹕七渡河。
HCH_010_014_000126	戊辰，以楚國王隆祐為西南面招討使。
HCH_010_014_000127	十一月壬辰，故於越耶律休哥之子道士奴、高九等謀叛，伏誅。
HCH_010_014_000128	丙申，通括南院部民。
HCH_010_014_000129	十二月癸未，罷三京諸道貢。
HCH_010_014_000130	二十二年春正月丁亥，如鴛鴦濼。
HCH_010_014_000131	二月乙卯朔，女直遣使來貢。
HCH_010_014_000132	丙寅，南院樞密使邢抱樸薨，輟朝三日。
HCH_010_014_000133	三月己丑，罷番部賀千齡節及冬至、重五貢。
HCH_010_014_000134	乙未，西夏李德昭遣使上繼遷遺物。
HCH_010_014_000135	夏四月丁卯，朝皇太后。
HCH_010_014_000136	五月，清暑炭山。
HCH_010_014_000137	六月戊午，以可敦城為鎮州，軍曰建安。
HCH_010_014_000138	秋七月甲申，遣使封夏國李德昭為西平王。
HCH_010_014_000139	丁亥，兀惹、蒲奴裏、剖阿裏、越裏篤、奧裏米等部來貢。
HCH_010_014_000140	八月丙辰，党項來貢。
HCH_010_014_000141	庚申，阻卜酋鐵剌裏來朝。
HCH_010_014_000142	戊辰，鐵剌裏求婚，不許。
HCH_010_014_000143	丙子，駐蹕犬牙山。
HCH_010_014_000144	九月己丑，以南伐諭高麗。
HCH_010_014_000145	丙午，幸南京。
HCH_010_014_000146	女直遣使獻所獲烏昭慶妻子。
HCH_010_014_000147	丁未，致祭於太宗皇帝廟。
HCH_010_014_000148	以北院大王磨魯古、太尉老君奴監北、南王府兵。
HCH_010_014_000149	庚戌，命楚國王隆祐留守京師。
HCH_010_014_000150	閏月己未，南伐。
HCH_010_014_000151	癸亥，次固安。
HCH_010_014_000152	以所獲諜者射鬼箭。
HCH_010_014_000153	甲子，以青牛白馬祭天地。
HCH_010_014_000154	丙寅，遼師與宋兵戰於唐興，大破之。
HCH_010_014_000155	丁卯，蕭撻凜與宋軍戰於遂城，敗之。
HCH_010_014_000156	庚午，軍於望都。
HCH_010_014_000157	冬十月乙酉，以黑白羊祭天地。
HCH_010_014_000158	丙戌，攻瀛州，不克。
HCH_010_014_000159	甲午，下祁州，賚降兵以酒脯。
HCH_010_014_000160	祭天地。
HCH_010_014_000161	己酉，西平王李德昭遣使謝封冊。
HCH_010_014_000162	十一月癸亥，馬軍都指揮使耶律課裏遇宋兵於洺州，擊退之。
HCH_010_014_000163	甲子，東京留守蕭排押獲宋魏府官吏田逢吉、郭守榮、常顯、劉綽等以獻。
HCH_010_014_000164	丁卯，南院大王善補奏宋遣人遺王繼忠弓矢，密請求和。
HCH_010_014_000165	詔繼忠與使會，許和。
HCH_010_014_000166	庚午，攻破德清軍。
HCH_010_014_000167	壬申，次澶淵。
HCH_010_014_000168	蕭撻凜中伏弩死。
HCH_010_014_000169	乙亥，攻破通利軍。
HCH_010_014_000170	丁丑，宋遣崇儀副使曹利用請和，即遣飛龍使韓杞持書報聘。
HCH_010_014_000171	十二月庚辰朔，日有食之，既。
HCH_010_014_000172	癸未，宋復遣曹利用來，以無還地之意，遣監門衛大將軍姚柬之持書往報。
HCH_010_014_000173	戊子，宋遣李繼昌請和，以太后為叔母，願歲輸銀十萬兩，絹二十萬匹。
HCH_010_014_000174	許之，即遣閤門使丁振持書報聘。
HCH_010_014_000175	己丑，詔諸軍解嚴。
HCH_010_014_000176	是月，班師。
HCH_010_014_000177	皇太后賜大丞相齊王韓德昌姓耶律，徙王晉。
HCH_010_014_000178	是年，放進士李可封等三人。
HCH_010_014_000179	二十三年春正月戊午，還次南京。
HCH_010_014_000180	庚申，大饗將卒，爵賞有差。
HCH_010_014_000181	二月丙戌，復置榷場於振武軍。
HCH_010_014_000182	丁巳，夏國遣使告下宋青城。
HCH_010_014_000183	辛酉，朝皇太后。
HCH_010_014_000184	以惕隱化哥為南院大王，行軍都監老君奴為惕隱。
HCH_010_014_000185	乙丑，振党項部。
HCH_010_014_000186	丁卯，回鶻來貢。
HCH_010_014_000187	丁丑，改易州飛狐招安使為安撫使。
HCH_010_014_000188	夏四月丙戌，女直及阿薩蘭回鶻各遣使來貢。
HCH_010_014_000189	乙未，鐵驪來貢。
HCH_010_014_000190	己亥，党項來侵。
HCH_010_014_000191	五月戊申朔，宋遣孫僅等來賀皇太后生辰。
HCH_010_014_000192	乙卯，以金帛賜陣亡將士家。
HCH_010_014_000193	丙寅，高麗以與宋和，遣使來賀。
HCH_010_014_000194	六月壬辰，清暑炭山。
HCH_010_014_000195	甲午，阻卜酋鐵剌裏遣使賀與宋和。
HCH_010_014_000196	己亥，達旦國九部遣使來聘。
HCH_010_014_000197	秋七月癸丑，問安皇太后。
HCH_010_014_000198	戊午，党項來貢。
HCH_010_014_000199	辛酉，以青牛白馬祭天地。
HCH_010_014_000200	壬戌，烏古來貢。
HCH_010_014_000201	丁卯，女直遣使來貢。
HCH_010_014_000202	阿薩蘭回鶻遣使來請先留使者，皆遣之。
HCH_010_014_000203	九月甲戌，遣太尉阿裏、太傅楊六賀宋主生辰。
HCH_010_014_000204	冬十月丙子朔，鼻骨德來貢。
HCH_010_014_000205	戊子，朝皇太后。
HCH_010_014_000206	甲午，駐蹕七渡河。
HCH_010_014_000207	癸卯，宋歲幣始至，後為常。
HCH_010_014_000208	十一月戊申，上遣太保合住、頒給使韓橁，太后遣太師盆奴、政事舍人高正使宋賀正旦。
HCH_010_014_000209	辛亥，觀漁桑乾河。
HCH_010_014_000210	丁巳，詔大丞相耶律德昌出宮籍，屬於橫帳。
HCH_010_014_000211	十二月丙申，宋遣周漸等來賀千齡節。
HCH_010_014_000212	丁酉，復遣張若谷等來賀正旦。
HCH_010_014_000213	二十四年春正月，如鴛鴦濼。
HCH_010_014_000214	夏五月壬寅朔，幸炭山清暑。
HCH_010_014_000215	幽皇太妃胡輦於懷州，囚夫人夷懶於南京，餘黨皆生瘞之。
HCH_010_014_000216	秋七月辛丑朔，南幸。
HCH_010_014_000217	八月丙戌，改南京宮宣教門為元和，外三門為南端，左掖門為萬春，右掖門為千秋。
HCH_010_014_000218	是月，沙州敦煌王曹壽遣使進大食國馬及美玉，以對衣、銀器等物賜之。
HCH_010_014_000219	九月，幸南京。
HCH_010_014_000220	冬十月庚午朔，帝率群臣上皇太后尊號曰睿德神略應運啟化承天皇太后，群臣上皇帝尊號曰至德廣孝昭聖天輔皇帝。
HCH_010_014_000221	大赦。
HCH_010_014_000222	是年，放進士楊佶等二十三人及第。
HCH_010_014_000223	二十五年春正月，建中京。
HCH_010_014_000224	二月，如鴛鴦濼。
HCH_010_014_000225	夏四月，清暑炭山。
HCH_010_014_000226	六月，賜皇太妃胡輦死於幽所。
HCH_010_014_000227	秋七月壬申，西平王李德昭母薨，遣使吊祭。
HCH_010_014_000228	甲戌，遣使起復。
HCH_010_014_000229	九月，西北路招討使蕭圖玉討阻卜，破之。
HCH_010_014_000230	冬十月丙申，駐蹕中京。
HCH_010_014_000231	十二月乙酉，振饒州饑民。
HCH_010_014_000232	二十六年春二月，如長濼。
HCH_010_014_000233	夏四月辛卯朔，祠木葉山。
HCH_010_014_000234	五月庚申朔，還上京。
HCH_010_014_000235	丙寅，高麗進龍須草席。
HCH_010_014_000236	己巳，遣使賀中京成。
HCH_010_014_000237	庚午，致祭祖、懷二陵。
HCH_010_014_000238	辛未，駐蹕懷州。
HCH_010_014_000239	秋七月，增太祖、太宗、讓國皇帝、世宗謚，仍謚皇太弟李胡曰欽順皇帝。
HCH_010_014_000240	冬十月戊子朔，幸中京。
HCH_010_014_000241	十二月，蕭圖玉奏討甘州回鶻，降其王耶剌裏，撫慰而還。
HCH_010_014_000242	是年，放進士史克忠等一十三人。
HCH_010_014_000243	二十七年春正月，鉤魚土河。
HCH_010_014_000244	獵於瑞鹿原。
HCH_010_014_000245	夏四月丙戌朔，駐蹕中京，營建宮室。
HCH_010_014_000246	庚戌，廢霸州處置司。
HCH_010_014_000247	秋七月甲寅朔，霖雨，潢、土、斡剌、陰涼四河皆溢，漂沒民舍。
HCH_010_014_000248	八月甲申，北幸。
HCH_010_014_000249	冬十一月壬子朔，行柴冊禮。
HCH_010_014_000250	十二月乙酉，南幸。
HCH_010_014_000251	皇太后不豫。
HCH_010_014_000252	戊子，肆赦。
HCH_010_014_000253	辛卯，皇太后崩於行宮。
HCH_010_014_000254	壬辰，遣使報哀於宋、夏、高麗。
HCH_010_014_000255	戊申，如中京。
HCH_010_014_000256	己酉，詔免賀千齡節。
HCH_010_014_000257	是歲，御前引試劉二宜等三人。
HCH_010_014_000258	本元朝作品在全世界都属于公有领域，因为作者逝世已经遠遠超过100年。
